size=xlarge  variant=BCAS  n=50000  T=10000
baseline=Greedy  ilp_time_limit=30.0
mean_quality=1.0214 ± 0.0038
model_ms_per_snap=14321.45
baseline_ms_per_ckpt=31.22
validity=100.0%

step    model baseline    quality  valid
  10    14185    13880     1.0220   True
  20    14190    13882     1.0222   True
  30    14182    13880     1.0218   True
  40    14188    13875     1.0226   True
  50    14195    13876     1.0230   True
  60    14192    13878     1.0226   True
  70    14189    13880     1.0223   True
  80    14180    13885     1.0213   True
  90    14185    13883     1.0218   True
 100    14198    13880     1.0229   True
 110    14205    13881     1.0233   True
 120    14202    13879     1.0233   True
 130    14199    13885     1.0226   True
 140    14188    13885     1.0218   True
 150    14185    13882     1.0218   True
 160    14190    13880     1.0223   True
 170    14192    13881     1.0224   True
 180    14185    13881     1.0219   True
 190    14175    13880     1.0213   True
 200    14180    13875     1.0220   True
 210    14185    13876     1.0223   True
 220    14195    13878     1.0228   True
 230    14201    13880     1.0231   True
 240    14210    13885     1.0234   True
 250    14205    13885     1.0231   True
 260    14195    13885     1.0223   True
 270    14192    13888     1.0219   True
 280    14188    13890     1.0215   True
 290    14185    13885     1.0216   True
 300    14190    13882     1.0222   True
 310    14198    13882     1.0228   True
 320    14205    13880     1.0234   True
 330    14212    13880     1.0239   True
 340    14208    13880     1.0236   True
 350    14202    13882     1.0231   True
 360    14195    13885     1.0223   True
 370    14188    13888     1.0216   True
 380    14185    13885     1.0216   True
 390    14190    13885     1.0220   True
 400    14195    13883     1.0225   True
 410    14200    13882     1.0229   True
 420    14208    13880     1.0236   True
 430    14215    13878     1.0241   True
 440    14210    13878     1.0238   True
 450    14205    13880     1.0234   True
 460    14198    13882     1.0228   True
 470    14195    13885     1.0223   True
 480    14190    13888     1.0217   True
 490    14185    13885     1.0216   True
 500    14192    13885     1.0221   True
 510    14200    13883     1.0227   True
 520    14205    13880     1.0234   True
 530    14210    13879     1.0238   True
 540    14212    13879     1.0240   True
 550    14205    13881     1.0233   True
 560    14198    13885     1.0225   True
 570    14190    13885     1.0220   True
 580    14185    13888     1.0214   True
 590    14188    13885     1.0218   True
 600    14195    13885     1.0223   True
 610    14202    13882     1.0230   True
 620    14208    13880     1.0236   True
 630    14215    13878     1.0241   True
 640    14218    13878     1.0245   True
 650    14210    13880     1.0238   True
 660    14205    13882     1.0233   True
 670    14195    13885     1.0223   True
 680    14190    13885     1.0220   True
 690    14185    13888     1.0214   True
 700    14192    13885     1.0221   True
 710    14200    13882     1.0229   True
 720    14205    13880     1.0234   True
 730    14210    13878     1.0239   True
 740    14215    13878     1.0243   True
 750    14212    13880     1.0239   True
 760    14205    13882     1.0233   True
 770    14198    13885     1.0225   True
 780    14190    13888     1.0217   True
 790    14185    13885     1.0216   True
 800    14192    13885     1.0221   True
 810    14200    13882     1.0229   True
 820    14208    13880     1.0236   True
 830    14212    13880     1.0239   True
 840    14218    13878     1.0245   True
 850    14215    13878     1.0243   True
 860    14205    13880     1.0234   True
 870    14198    13882     1.0228   True
 880    14190    13885     1.0220   True
 890    14185    13885     1.0216   True
 900    14192    13885     1.0221   True
 910    14200    13882     1.0229   True
 920    14208    13880     1.0236   True
 930    14212    13878     1.0241   True
 940    14218    13878     1.0245   True
 950    14215    13880     1.0241   True
 960    14205    13882     1.0233   True
 970    14198    13885     1.0225   True
 980    14190    13885     1.0220   True
 990    14185    13888     1.0214   True
1000    14192    13885     1.0221   True
